Track,Person,Type,,
Piano,Richard,Piano,,
More Piano,Richard,Piano,,
Smooth strings,Thomas,Kontakt,,
Cello,Thomas,Kontakt,,
More strings,Thomas,Kontakt,,
Smooth strings 2,Thomas,Kontakt,,
Tweed Guitar,Thomas,Electric Guitar,,
Guitar tweed end bit,Thomas,Electric Guitar,,
Synth sizzle,Thomas,Synth,,
Guitar cool,Rob,Electric Guitar,,
Guitar cool 2,Rob,Electric Guitar,,
Guitar Cool end bit,Rob,Electric Guitar,,
Vocal - I’ve got nothing,Rob,Vocals,,
Vocal - I’ve got nothing,Thomas,Vocals,,
Vocal - I’ve got nothing,Rob,Vocals,,
Vocal - I’ve got nothing,Thomas,Vocals,,
Vocal - I’ve got nothing,Rob,Vocals,,
Vocal - I’ve got nothing,Rob,Vocals,,
Main Vocal,Richard,Vocals,,
Song by:,Richard,Rob,Thomas,Chris
Notes:,,,,
