Track,Person,Type,,
Drums,Richard,Percussion,,
Bass,Chris,Bass,,
Bosendorfer Pony Club,Richard,Synth,,
Good Backwards Sounds,Richard,Synth,,
More Good Backwards Sounds,Richard,Synth,,
Wucka Wucka,Richard,Synth,,
Vibrato Strings,Richard,Synth,,
Horns,Thomas,Kontakt,,
Violins,Thomas,Kontakt,,
Cello ,Thomas,Kontakt,,
Telegraph sound,Richard,Synth,,
Acoustic,Richard,Guitar,,
Banjo,Thomas,Banjo,,
More Banjo,Thomas,Banjo,,
Banjo Solo,Thomas,Banjo,,
Banjo Solo 2,Thomas,Banjo,,
Banjo Solo 3,Thomas,Banjo,,
Chucka,Richard,Guitar,,
Fuck This,Richard,Vocal,,
Thomas Vocal,Thomas,Vocal,,
Thomas Vocal Low,Thomas,Vocal,,
Thomas Vocal Hi,Thomas,Vocal,,
,,,,
Song by:,Richard,Thomas ,Chris,
,,,,
Notes:,,,,
