Track,Person,Type,,
Loop,Richard,Loop,,
Loop_2 ,Richard,Loop,,
Drums,Richard,Percussion,,
Drive,Richard,Effect,,
Guitar,Richard,Guitar,,
Other Guitar,Richard,Guitar,,
Yet Another,Richard,Guitar,,
Then Another,Richard,Guitar,,
Good Backwards Sound,Richard,Synth,,
High Voltage Transformer,Richard,Synth,,
Bongo Loop,Richard,Synth,,
Male Chamber Ensemble,Richard,Synth,,
Gospel,Richard,Synth,,
Vocal_4,Richard,Vocal,,
Chorus Low,Richard,Vocal,,
Chorus Low2,Richard,Vocal,,
Chorus Hi,Richard,Vocal,,
Chorus Hi2,Richard,Vocal,,
Verse 1,Thomas,Vocal,,
Verse 2,Thomas,Vocal,,
Verse 3,Thomas,Vocal,,
Song by,Richard,Thomas,Chris,
